name	output_shape	class
nasnet_mobile/separable_conv_2_bn_normal_right2_6	None	BatchNormalization
nasnet_mobile/normal_left3_6	None	AveragePooling2D
nasnet_mobile/normal_left4_6	None	AveragePooling2D
nasnet_mobile/normal_right4_6	None	AveragePooling2D
nasnet_mobile/separable_conv_2_bn_normal_left5_6	None	BatchNormalization
nasnet_mobile/normal_add_1_6	None	Add
nasnet_mobile/normal_add_2_6	None	Add
nasnet_mobile/normal_add_3_6	None	Add
nasnet_mobile/normal_add_4_6	None	Add
nasnet_mobile/normal_add_5_6	None	Add
nasnet_mobile/normal_concat_6	None	Concatenate
nasnet_mobile/activation_104	None	Activation
nasnet_mobile/activation_105	None	Activation
nasnet_mobile/adjust_conv_projection_7	None	Conv2D
nasnet_mobile/normal_conv_1_7	None	Conv2D
nasnet_mobile/adjust_bn_7	None	BatchNormalization
nasnet_mobile/normal_bn_1_7	None	BatchNormalization
nasnet_mobile/activation_106	None	Activation
nasnet_mobile/activation_108	None	Activation
nasnet_mobile/activation_110	None	Activation
nasnet_mobile/activation_112	None	Activation
nasnet_mobile/activation_114	None	Activation
nasnet_mobile/separable_conv_1_normal_left1_7	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_right1_7	None	SeparableConv2D
nasnet_mobile/separable_conv_1_normal_left2_7	None	SeparableConv2D
